id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
id-001,22.34,0.56,g,o,u,9.43,25.38,-20.91,-25.84,4.08,B
id-002,-2.31,7.36,i,p,y,-3.94,,31.65,12.95,9.82,C
id-003,-17.55,-4.09,f,l,v,-11.02,-1.77,-17.57,15.98,11.43,D
id-004,-13.54,-5.42,g,p,x,4.11,2.22,16.72,9.86,16.43,A
id-005,13.39,-3.2,i,l,v,2.23,11.76,1.34,4.16,-6.49,B
id-006,0.58,12.09,f,l,x,-13.59,11.67,-12.12,-12.49,-8.07,A
id-007,-12.37,2.08,f,m,w,-18.38,-0.82,-20.52,15.81,0.6,D
id-008,-21.24,-0.15,f,m,x,11.71,7.18,15.52,7.0,3.97,A
id-009,-2.89,-0.38,e,n,y,-18.78,-2.73,-11.3,-23.84,15.82,A
id-010,-26.5,6.41,e,o,v,21.87,10.22,-7.51,-11.37,-3.76,D
id-011,12.83,14.36,g,n,u,52.54,1.12,18.02,-30.73,-7.93,B
id-012,-25.33,-14.22,g,o,y,-3.78,14.51,25.97,29.53,5.93,A
id-013,-0.22,1.62,f,l,v,44.69,9.04,25.04,-27.6,-21.52,B
id-014,-4.64,1.42,h,p,x,,7.35,8.07,10.33,2.53,A
id-015,-0.39,9.35,h,m,w,-7.08,-5.46,-4.47,7.77,-7.38,D
id-016,-25.77,12.87,e,l,u,36.08,-13.19,-10.93,-27.44,2.71,C
id-017,8.44,13.45,h,o,w,-2.9,-2.82,-0.45,0.99,4.25,D
id-018,24.31,-16.47,i,n,w,-23.39,4.13,-2.62,7.3,-4.69,C
id-019,6.96,13.87,h,o,v,32.49,-0.49,,-17.37,8.69,B
id-020,13.53,-1.97,h,l,y,9.54,-6.04,28.38,-15.52,-5.69,B
id-021,-1.48,7.57,h,p,y,-57.22,-1.32,-25.1,37.82,-14.01,D
id-022,17.83,,i,o,w,-23.4,11.89,-4.71,15.84,-4.5,C
id-023,-10.45,-23.01,f,n,w,-9.69,-7.26,-12.98,6.69,-7.84,A
id-024,17.79,4.62,h,n,x,-42.02,-1.35,-28.87,4.82,-3.8,B
id-025,9.89,-2.94,g,n,x,-28.39,-12.02,-16.69,,-5.79,A
id-026,0.28,,h,n,x,19.97,-6.24,32.34,-1.55,-3.0,B
id-027,-16.82,0.97,f,o,x,18.15,-2.02,15.62,-1.58,2.0,A
id-028,-22.66,-4.51,f,m,u,10.1,12.32,-12.04,15.53,-4.62,D
id-029,-19.63,10.09,f,n,v,1.53,7.9,-13.35,15.43,-2.62,D
id-030,25.35,-8.27,i,o,v,-34.35,2.28,-27.53,8.21,8.48,B
id-031,-21.43,-8.1,e,m,v,6.78,-15.72,-9.39,5.56,14.11,A
id-032,5.36,5.69,i,n,y,-7.03,7.78,19.47,12.24,-6.56,C
id-033,-0.11,-9.78,h,p,v,8.49,-9.09,-1.49,4.15,6.49,D
id-034,2.93,4.03,e,o,u,33.16,1.64,-23.72,-34.98,-7.46,C
id-035,1.21,2.18,h,m,y,-56.3,-3.18,-16.64,29.88,-4.06,D
id-036,4.23,1.73,i,o,w,17.96,-5.36,31.83,6.96,-2.26,B
id-037,-15.8,12.72,f,o,v,-7.02,-25.77,-17.46,12.71,3.69,D
id-038,-1.28,3.52,f,o,y,-18.3,-3.92,-12.7,-15.07,-10.3,A
id-039,-15.46,7.72,e,p,w,-32.08,-2.5,-48.55,-7.64,-11.17,C
id-040,8.63,-5.9,h,p,x,-7.67,-22.67,9.32,2.6,4.49,C
id-041,-2.74,-16.87,i,l,x,-49.54,-13.75,-23.74,42.0,-7.15,D
id-042,-19.94,-0.1,e,n,x,-2.79,1.85,-20.0,-13.68,-11.03,C
id-043,21.31,7.8,i,p,u,-15.9,-5.95,-16.7,9.39,1.67,B
,11.4,0.15,g,n,u,31.05,5.24,1.34,-23.59,-21.76,B
id-045,-7.26,-21.19,e,l,y,-13.07,8.93,-10.34,,-5.7,A
id-046,-19.59,2.07,e,l,y,3.46,-9.03,-5.29,-21.53,6.27,A
id-047,18.17,8.46,i,m,w,-3.75,3.25,5.51,-1.04,-8.54,C
id-048,-11.37,8.02,i,n,y,14.8,4.03,45.78,18.05,-9.11,C
id-049,9.27,-7.56,i,o,y,-37.4,-19.96,3.12,14.46,-3.97,C
id-050,-20.76,3.94,e,o,v,1.85,-29.53,-19.68,6.5,13.36,C
id-051,-0.72,15.85,f,n,u,32.87,-5.53,-8.53,-18.01,6.43,C
id-052,-3.07,-8.43,g,n,w,-9.26,3.83,-9.11,7.92,0.47,D
id-053,29.34,-1.42,h,n,v,-24.87,-6.32,-25.44,-12.92,11.39,B
id-054,-18.42,4.24,g,l,x,5.51,-2.54,14.32,10.92,-4.72,A
id-055,3.43,-4.3,g,p,x,-27.92,-7.0,-17.24,-0.86,-1.14,A
id-056,25.69,1.77,i,o,v,-22.14,-0.28,-21.72,-2.4,6.51,B
id-057,19.99,11.38,i,p,u,3.36,0.14,-4.99,-6.02,17.14,B
id-058,-32.23,15.5,e,p,w,13.91,-12.27,-4.54,-2.46,-3.46,A
id-059,25.8,-6.77,i,l,v,-48.67,-2.26,-33.34,28.14,5.31,B
id-060,2.01,4.04,i,,u,-13.95,9.52,-6.1,39.24,18.65,B
id-061,-27.77,3.9,e,p,u,40.03,-16.74,-8.82,-28.91,3.49,A
id-062,23.1,6.05,i,l,u,-12.13,8.53,,-3.4,-5.03,B
id-063,-25.14,-6.79,f,l,y,8.24,0.55,20.65,11.48,5.1,A
id-064,6.04,13.41,i,l,y,-17.53,-2.86,21.52,11.14,1.88,D
id-065,-8.3,5.22,g,m,w,-2.31,15.34,0.86,7.41,1.57,
id-066,0.44,-6.06,h,p,y,-7.46,-0.81,27.44,9.61,2.91,C
id-067,14.51,0.66,i,l,w,5.4,-13.89,13.87,-3.26,-4.59,C
id-068,-12.65,-7.1,f,o,w,14.75,-0.96,7.6,,4.88,D
id-069,-6.44,,f,o,y,-31.42,-4.59,-13.1,9.56,4.68,D
id-070,21.89,3.6,i,p,u,14.64,21.84,-0.96,10.96,-5.6,B
id-071,-5.71,-9.31,g,p,u,19.86,-6.49,-1.13,5.07,4.11,C
id-072,-14.27,-1.5,g,n,y,2.95,-2.35,,9.77,3.36,A
id-073,4.12,-15.54,f,o,y,-25.83,8.11,-15.18,-18.27,7.2,A
id-074,-3.55,9.0,h,n,w,24.1,6.75,25.41,-2.37,8.38,B
id-075,12.64,-4.04,i,n,y,-24.69,1.32,5.17,9.28,2.89,C
id-076,16.57,-12.37,h,l,w,-24.76,5.05,-19.75,-1.88,17.47,B
id-077,8.48,17.66,i,n,w,-33.15,-0.8,-19.92,21.7,-0.74,B
id-078,-13.19,-3.06,e,p,x,-2.16,0.43,-9.08,-7.38,11.0,A
id-079,,-15.91,f,m,x,12.39,-3.44,17.48,7.84,6.73,A
id-080,3.7,-11.16,g,p,u,32.91,0.92,-0.38,-8.8,-16.32,D
id-081,-13.79,5.23,f,p,v,-2.75,-10.9,-7.72,11.93,7.77,D
id-082,12.11,2.26,i,l,x,9.6,-7.62,25.84,0.39,-9.49,B
id-083,-22.52,6.2,f,m,x,10.4,7.09,10.76,9.25,-8.7,A
id-084,7.13,14.75,i,p,x,11.82,4.17,28.42,1.55,22.22,C
id-085,-9.47,14.81,g,l,v,31.99,7.28,18.38,-8.45,12.75,B
id-086,11.99,8.63,h,p,v,27.31,-0.08,16.56,-20.69,7.91,B
,19.66,,i,m,x,-12.25,-11.73,2.04,-2.45,-5.06,B
id-088,-6.76,-11.85,g,o,y,-18.41,1.13,2.01,5.38,-5.44,D
id-089,-11.62,12.48,g,n,x,1.11,13.13,6.39,9.63,10.33,D
id-090,-10.63,-1.49,h,o,w,-40.6,-7.58,-24.72,35.43,10.61,D
id-091,5.37,-13.78,h,m,u,7.31,3.0,1.0,6.08,6.55,B
id-092,6.01,-0.42,i,l,x,-1.9,-2.35,14.96,7.77,5.22,C
id-093,14.45,-6.98,h,l,x,-10.46,-8.21,5.82,-3.79,-11.94,C
id-094,13.6,5.93,h,n,u,21.41,-10.24,3.65,-9.69,-9.86,D
id-095,2.36,-5.9,g,l,x,-23.22,6.83,-12.63,6.67,3.84,D
id-096,-14.79,-11.04,g,m,v,-23.44,0.14,-23.44,28.68,2.89,D
id-097,-5.69,-7.89,g,m,v,-1.66,-3.63,-12.86,5.46,-0.87,D
id-098,-0.85,1.6,g,p,v,2.86,-5.84,-5.9,4.17,-9.64,D
