id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Q01,-2.24,-11.02,i,n,x,-2.43,-7.96,-2.64,-6.95,-0.66
Q02,4.39,4.57,g,n,v,-23.36,-24.85,-7.1,-3.45,4.55
Q03,13.97,-19.62,h,o,v,-11.54,-4.35,-7.56,-2.2,1.27
Q04,-26.99,1.47,h,m,y,5.15,8.84,17.05,28.64,3.49
Q05,11.27,8.28,f,l,x,17.51,-16.32,28.68,-2.76,1.35
Q06,11.74,-19.99,g,n,v,3.99,3.63,5.96,3.27,-8.77
Q07,16.73,3.39,h,n,y,18.5,5.54,8.22,-11.04,-12.54
Q08,-7.05,13.25,e,l,w,9.6,-20.72,32.16,11.25,-2.96
Q09,12.91,0.21,i,o,v,10.2,14.11,-5.99,-10.08,12.28
Q10,24.89,8.38,f,n,y,-3.53,-10.54,9.6,1.48,-6.34
